"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2023-09-24","94.2","-2.68","6.01","Torres, Gleyber",650402,668678,"field_out","hit_into_play",,,,,1,"Gleyber Torres flies out to left fielder Lourdes Gurriel Jr.","R","R","R","NYY","AZ","X",7,"fly_ball",3,2,2023,"-0.14","1.46","-0.74","2.98",,,518934,1,1,"Bot",42.42,89.47,,,672515,,,5.394402576972466,-137.06776702494764,-5.446984358420956,-2.957598962636433,30.961063781623796,-12.74641100875881,"3.14","1.45",359,"100.3",37,"95",2155,"6.8",716458,668678,672515,572233,672695,446334,691783,666971,677950,682998,"53.69",0.229,0.413,"0",1,0,0,5,8,6,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",196,"-0.029","-0.373"
"FF","2023-09-24","94.4","-2.97","5.77","Perdomo, Geraldo",672695,681190,"sac_fly","hit_into_play",,,,,5,"Geraldo Perdomo out on a sacrifice fly to left fielder Isiah Kiner-Falefa.   Jake McCarthy scores.    Jordan Lawlar to 3rd.    Alek Thomas to 2nd.","R","L","R","NYY","AZ","X",7,"fly_ball",2,2,2023,"-0.85","1.28","0.01","2.72",664983,691783,677950,1,7,"Top",41.66,104.82,,,669224,,,9.629065031930985,-137.14898586494064,-5.097831170583075,-12.783703348013116,28.84254015143326,-15.01604829967228,"3.43","1.54",311,"93.4",45,"94.4",2412,"6.3",716458,681190,669224,518934,650402,672724,683011,643396,664314,665828,"54.21",0.006,0.005,"0",1,0,0,3,50,5,"4-Seam Fastball",0,4,4,0,5,0,5,0,"Standard","Standard",222,"-0.007","-0.288"
"FF","2023-09-24","93.1","2.08","6.43","Walker, Christian",572233,607074,"sac_fly","hit_into_play",,,,,6,"Christian Walker out on a sacrifice fly to right fielder Oswaldo Cabrera.   Corbin Carroll scores.","R","R","L","NYY","AZ","X",9,"fly_ball",0,0,2023,"0.46","1.47","0.47","2.57",682998,,,1,1,"Top",178.51,85.98,,,669224,,,-5.131288611795335,-135.3962608054896,-7.350259744964858,6.780220008875948,30.19959526274949,-12.667861087893172,"3.43","1.59",309,"94.3",42,"93",2283,"6.3",716458,607074,669224,518934,650402,672724,683011,643396,664314,665828,"54.18",0.02,0.036,"0",1,0,0,3,4,1,"4-Seam Fastball",0,1,1,0,2,0,2,0,"Strategic","Standard",149,"-0.019","-0.191"
"FF","2023-09-24","95.4","-1.91","6.57","Judge, Aaron",592450,656464,"double","hit_into_play",,,,,8,"Aaron Judge hits a ground-rule double (15) on a fly ball down the right-field line.   DJ LeMahieu to 3rd.","R","R","R","NYY","AZ","X",,"fly_ball",2,1,2023,"-0.97","1.48","-0.16","2.19",,,518934,1,8,"Bot",214.03,112.57,,,672515,,,6.893423212287931,-138.47138598767097,-9.284060296799549,-14.086762832700419,33.98077070612067,-11.156060982859055,"3.97","1.84",304,"103.8",46,"96.4",2482,"7.2",716458,656464,672515,572233,672695,656896,691783,682998,677950,664983,"53.27",0.083,0.135,"1.25",1,1,1,3,62,4,"4-Seam Fastball",0,6,0,6,6,0,0,6,"Standard","Standard",221,"0.014","0.91"
"FC","2023-09-24","90","-1.12","6.37","Peraza, Oswald",672724,666818,"field_out","hit_into_play",,,,,6,"Oswald Peraza flies out to left fielder Corbin Carroll.","R","R","R","NYY","AZ","X",7,"fly_ball",2,1,2023,"0.17","0.58","0.78","2.3",641343,665828,,0,9,"Bot",89.15,100.38,,,672515,,,4.431497502054594,-130.91966765007703,-5.434440213017304,1.0000329089950866,28.97773726953042,-24.57144052001616,"3.21","1.46",254,"74.7",41,"91.7",2270,"7.4",716458,666818,672515,572233,672695,656896,691783,682998,677950,664983,"53.07",0.186,0.194,"0",1,0,0,3,73,4,"Cutter",0,7,0,7,7,0,0,7,"Standard","Standard",185,"-0.006","-0.354"
"FF","2023-09-24","94.2","-2.92","5.9","Lawlar, Jordan",691783,681190,"field_error","hit_into_play",,,,,8,"Jordan Lawlar reaches on a fielding error by left fielder Isiah Kiner-Falefa.   Jake McCarthy to 2nd.","R","R","R","NYY","AZ","X",7,"fly_ball",3,1,2023,"-0.99","1.46","0.18","2.07",,,664983,1,7,"Top",57.58,107.66,,,669224,,,10.32447166839473,-136.59125835708093,-7.445041296730076,-14.834230305063873,32.677457461984815,-12.397645971298855,"3.47","1.59",309,"85.5",31,"94.3",2310,"6.7",716458,681190,669224,518934,650402,672724,683011,643396,664314,665828,"53.79",0.034,0.043,"0.9",1,0,0,3,48,5,"4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard",218,"-0.007","0.364"
"FF","2023-09-22","93.5","-1.66","5.66","Torres, Gleyber",650402,694297,"field_out","hit_into_play",,,,,8,"Gleyber Torres flies out to right fielder Corbin Carroll.","R","R","R","NYY","AZ","X",9,"fly_ball",3,1,2023,"-0.67","1.65","-0.09","1.88",,,,0,5,"Bot",181.1,129.26,,,672515,,,5.594427101027303,-135.73773630310683,-7.6378417697412555,-9.557708066761672,34.68381380784319,-10.321101855827308,"3.12","1.44",222,"89.2",52,"94.3",2415,"7.3",716480,694297,672515,572233,606466,607054,672695,502054,677950,682998,"53.22",0.009,0.009,"0",1,0,0,3,38,5,"4-Seam Fastball",6,0,6,0,0,6,6,0,"Standard","Standard",215,"-0.002","-0.396"
"FF","2023-09-22","92.7","-1.95","5.63","Judge, Aaron",592450,694297,"home_run","hit_into_play",,,,,5,"Aaron Judge homers (34) on a fly ball to right center field.    Estevan Florial scores.","R","R","R","NYY","AZ","X",,"fly_ball",1,2,2023,"-0.92","1.22","-0.19","3.1",,664314,,0,5,"Bot",172.78,53.3,,,672515,,,6.594594994195232,-134.84435344388876,-3.345201618852549,-12.735215823332833,31.55243493873534,-16.762183212511474,"3.97","1.84",379,"101.3",27,"93.6",2465,"7",716480,694297,672515,572233,606466,607054,672695,502054,677950,682998,"53.51",0.606,1.064,"2",1,0,3,6,37,4,"4-Seam Fastball",4,0,4,0,0,6,6,0,"Standard","Standard",218,"0.029","1.484"
"SI","2023-09-22","91.9","-1.97","5.5","Florial, Estevan",664314,694297,"double","hit_into_play",,,,,4,"Estevan Florial doubles (2) on a sharp fly ball to left fielder Tommy Pham.   Oswald Peraza scores.","R","L","R","NYY","AZ","X",7,"fly_ball",0,0,2023,"-1.43","0.45","-0.45","2.58",,672724,,0,5,"Bot",57.53,63.63,,,672515,,,7.067896495634081,-133.64009988054693,-2.494889470106104,-18.676695168937737,31.473829521393476,-26.486170622803076,"3.61","1.71",374,"103.1",26,"92.9",2222,"7.1",716480,694297,672515,572233,606466,607054,672695,502054,677950,682998,"53.37",0.82,1.536,"1.25",1,1,1,6,36,1,"Sinker",3,0,3,0,0,4,4,0,"Standard","Standard",222,"0.035","0.977"
"FC","2023-09-22","89.6","-1.71","5.73","Peterson, Jace",607054,596133,"field_out","hit_into_play",,,,,4,"Jace Peterson flies out to center fielder Estevan Florial.","R","L","R","NYY","AZ","X",8,"fly_ball",1,1,2023,"-0.22","1.32","-0.59","2.7",,672515,,2,5,"Top",132.27,65.1,,,669224,,,3.1956164483820935,-130.4629429495556,-4.265210719577156,-3.124631664545545,27.150101488524008,-16.428702110738982,"3.26","1.49",332,"90.2",26,"89.1",2291,"5.9",716480,596133,669224,641343,650402,672724,683011,665828,664314,592450,"54.57",0.08,0.103,"0",1,0,0,3,34,3,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",205,"0.028","-0.298"
