pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,9/30/2023,85.4,-1.93,5.42,"Velázquez, Nelson",676369,657376,single,hit_into_play,,,,,9,Nelson Velazquez singles on a fly ball to left fielder Everson Pereira.   Maikel Garcia scores.    MJ Melendez to 3rd.,R,R,R,KC,NYY,X,7,fly_ball,0,0,2023,0.68,0.25,0.31,2.27,672580,,669004,2,1,Bot,97.91,94.49,,,543309,,,3.8895717233362106,-124.5489982,-1.752928188,6.577414058740407,20.62442959844812,-29.41976209,3.51,1.75,262,71.2,35,85.3,3020,5.7,716375,657376,543309,641343,650402,518934,672724,677592,664314,665828,54.76,0.543,0.525,0.9,1,1,0,3,9,1,Sweeper,0,0,0,0,0,1,1,0,Standard,Standard,94,0.102,0.998
SL,9/30/2023,89.4,-3.22,5.3,"Bauers, Jake",641343,674444,field_out,hit_into_play,,,,,4,Jake Bauers flies out to center fielder Drew Waters.,R,L,R,KC,NYY,X,8,fly_ball,2,1,2023,0.31,0.53,-0.38,2.54,518934,,,2,1,Top,109.98,98.09,,,682515,,,6.5172734636866645,-130.231793,-2.050509577,2.4109238721079325,22.82541827438435,-25.8940665,3.48,1.63,256,98,56,92.3,2115,7.6,716375,674444,682515,668472,686681,672580,677951,669004,671221,676369,52.93,0.017,0.015,0,1,0,0,3,4,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,166,0.036,-0.393
SI,9/30/2023,94.4,-1.66,5.52,"Witt Jr., Bobby",677951,657376,field_out,hit_into_play,,,,,5,Bobby Witt Jr.  flies out to right fielder Oswaldo Cabrera.,R,R,R,KC,NYY,X,9,fly_ball,3,2,2023,-0.37,0.5,-0.03,2.51,,,672580,0,1,Bot,187.99,89.98,,,543309,,,5.056003944,-137.599075,-3.322641823,-5.713809374,26.614630701118962,-25.3423742,3.49,1.65,342,95.9,36,94.9,2548,6.2,716375,657376,543309,641343,650402,518934,672724,677592,664314,665828,54.31,0.171,0.324,0,1,0,0,3,6,7,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218,-0.033,-0.455
FC,9/30/2023,91.2,-3.37,5.11,"Florial, Estevan",664314,676092,single,hit_into_play,,,,,6,Estevan Florial singles on a fly ball to center fielder Dairon Blanco.   Kyle Higashioka scores.,R,L,R,KC,NYY,X,8,fly_ball,1,2,2023,0.27,0.4,0.66,2.69,,543309,,2,6,Top,132.77,108.43,,,682515,,,9.515301019650602,-132.6920905,-1.113915521,1.456780320724681,25.237129909910077,-27.4005996,3.59,1.7,202,69.5,26,91.3,2530,6.1,716375,676092,682515,668472,686681,672580,677951,669004,680118,676369,54.39,0.969,0.897,0.9,1,1,0,4,50,4,Cutter,2,2,2,2,3,2,3,2,Standard,Standard,128,-0.16,0.848
FF,9/30/2023,94,2.51,5.86,"Volpe, Anthony",683011,672582,field_out,hit_into_play,,,,,11,Anthony Volpe flies out to right fielder Nelson Velazquez.,R,R,L,KC,NYY,X,9,fly_ball,0,2,2023,0.73,1,-0.16,3.4,592450,,650402,2,6,Top,161.7,123.09,,,682515,,,-8.349213541,-136.7472673,-2.897949023,10.795357542208288,26.02054186891931,-19.1138837,3.16,1.52,212,87.9,56,92.8,1929,5.3,716375,672582,682515,668472,686681,672580,677951,669004,680118,676369,55.23,0.003,0.003,0,1,0,0,3,54,3,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,140,0.023,-0.34
CU,9/29/2023,78.8,-2.05,6.03,"Judge, Aaron",592450,543475,double,hit_into_play,,,,,5,Aaron Judge doubles (16) on a sharp fly ball to left fielder Edward Olivares.,R,R,R,KC,NYY,X,7,fly_ball,1,1,2023,0.36,-0.9,-0.23,2.98,,,,0,6,Top,85.55,42.39,,,682515,,,3.298081508896328,-114.7540346,1.8741029561229254,2.570361035,21.118415312949644,-40.71484671,3.91,1.81,399,104.6,28,79.3,2503,6.6,716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,53.93,0.911,1.797,1.25,1,1,1,6,49,3,Curveball,10,4,4,10,4,10,4,10,Strategic,Standard,34,-0.015,0.643
FF,9/29/2023,90.3,-1.97,5.93,"Volpe, Anthony",683011,543475,field_out,hit_into_play,,,,,9,Anthony Volpe flies out to right fielder Nelson Velazquez.,R,R,R,KC,NYY,X,9,fly_ball,3,2,2023,-0.17,1.21,0.5,1.99,,,,1,4,Top,206.05,75.15,,,682515,,,6.587414612529483,-131.3892186,-6.567146246,-3.216253331,24.031118211220296,-16.91736181,3.17,1.51,363,99,35,91.7,2228,6.8,716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,53.69,0.294,0.549,0,1,0,0,5,36,6,4-Seam Fastball,10,3,3,10,3,10,3,10,Standard,Standard,209,0.003,-0.207
ST,9/29/2023,78.2,-2.56,5.76,"Wells, Austin",669224,543475,home_run,hit_into_play,,,,,8,Austin Wells homers (4) on a fly ball to right field.    Aaron Judge scores.    Gleyber Torres scores.,R,L,R,KC,NYY,X,,fly_ball,1,1,2023,0.91,0.1,0.22,1.78,,592450,650402,1,4,Top,225.24,83.5,,,682515,,,4.367784095236241,-113.8853508,-1.913357268,7.092157309612411,21.337058364031055,-31.14482716,3.54,1.63,375,98.6,28,78.9,2420,6.8,716389,543475,682515,521692,622110,672580,677951,658668,664728,676369,53.72,0.514,0.916,2,1,0,3,6,35,3,Sweeper,10,0,0,10,3,10,3,10,Standard,Standard,65,-0.013,2.351
ST,9/29/2023,80.2,-1.67,5.65,"Porter, Logan",682515,621199,field_out,hit_into_play,,,,,6,Logan Porter flies out sharply to center fielder Estevan Florial.,R,R,R,KC,NYY,X,8,fly_ball,0,1,2023,1.79,0.1,0.51,2.49,,,,2,2,Bot,102.96,47.18,,,669224,,,1.4456829886454718,-116.7342596,-0.414479148,15.955971727504119,24.06253439466107,-31.41003707,3.16,1.46,379,100.3,23,80.5,2627,6.7,716389,621199,669224,641343,650402,672724,683011,677592,664314,665828,53.78,0.491,0.729,0,1,0,0,5,23,2,Sweeper,9,0,9,0,0,9,9,0,Standard,Standard,63,-0.001,-0.089
SL,9/29/2023,83.4,-2.88,5.91,"Cabrera, Oswaldo",665828,680742,field_out,hit_into_play,,,,,2,Oswaldo Cabrera flies out to center fielder Kyle Isbel.,R,L,R,KC,NYY,X,8,fly_ball,3,2,2023,0.38,-0.17,-0.18,2.78,,683011,641343,1,9,Top,101.59,61.15,,,682515,,,5.531725873972785,-121.4757187,-0.492106281,2.7842945803698664,21.54487615842126,-33.9388999,3.2,1.51,347,92.7,37,84.5,2562,6.8,716389,680742,682515,668472,686681,622110,672580,680118,664728,676369,53.73,0.043,0.07,0,1,0,0,3,79,6,Slider,12,5,5,12,5,12,5,12,Standard,Standard,76,0.002,-0.506
