pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/26/2023,91.6,-1.38,5.89,"Diaz, Jordan",672478,641927,field_out,hit_into_play,,,,,12,Jordan Diaz flies out to right fielder Max Kepler.,R,R,R,MIN,OAK,X,9,fly_ball,2,2,2023,-0.85,1.56,0.05,3.49,,,,1,5,Top,176.98,92.11,,,543877,,,5.546953379367644,-133.2763015,-3.589451027,-11.34103197,30.979153069612188,-13.08434452,3.24,1.53,295,85.6,39,92.8,2344,7.2,716421,641927,543877,666135,593871,456781,571657,670242,572191,596146,53.28,0.001,0,0,1,0,0,3,35,8,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,214,0.007,-0.148
SI,9/26/2023,90.7,-1.93,6.02,"Vázquez, Christian",543877,621112,field_out,hit_into_play,,,,,7,Christian Vazquez flies out to center fielder Lawrence Butler.,R,R,R,MIN,OAK,X,8,fly_ball,0,0,2023,-1,1.15,-0.62,2,,,571657,2,3,Bot,141.98,51.65,,,669127,,,5.398489084389929,-131.8594674,-6.504481065,-12.85374352,29.79319180317955,-17.58941064,3.16,1.5,366,99.4,36,90.2,1958,6.2,716421,621112,669127,676116,680869,672478,669397,665923,671732,664913,54.3,0.266,0.512,0,1,0,0,5,27,1,Sinker,5,0,5,0,0,5,5,0,Standard,Standard,205,-0.005,-0.241
CH,9/26/2023,85.8,-2.03,6.14,"Polanco, Jorge",593871,621112,field_out,hit_into_play,,,,,5,Jorge Polanco flies out to center fielder Lawrence Butler.,R,L,R,MIN,OAK,X,8,fly_ball,2,1,2023,-0.79,0.57,-0.08,2.29,,,666397,1,2,Bot,144,52.21,,,669127,,,6.193308390285861,-124.7392575,-3.997472091,-9.467084729,24.962264843486146,-25.58918826,3.3,1.6,366,99.4,39,85.7,1742,6.3,716421,621112,669127,676116,680869,672478,669397,665923,671732,664913,54.24,0.134,0.25,0,1,0,0,3,18,4,Changeup,5,0,5,0,0,5,5,0,Infield shade,Standard,211,-0.007,-0.337
FF,9/26/2023,89.6,-1.77,6.17,"Taylor, Michael A.",572191,621112,field_out,hit_into_play,,,,,5,Michael A.   Taylor flies out sharply to center fielder Lawrence Butler.,R,R,R,MIN,OAK,X,8,fly_ball,0,0,2023,-0.47,1.37,-0.11,2.57,,,,0,2,Bot,116.48,55.81,,,669127,,,5.094084187108998,-130.380047,-5.787473537,-6.400101725,26.785030404032657,-15.52002249,3.46,1.62,353,106.9,45,89.6,2068,6.2,716421,621112,669127,676116,680869,672478,669397,665923,671732,664913,54.27,0.214,0.407,0,1,0,0,5,16,1,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,205,-0.005,-0.238
FF,9/26/2023,98.9,-2.25,6.55,"Taylor, Michael A.",572191,695243,field_out,hit_into_play,,,,,4,Michael A.   Taylor flies out to right fielder Seth Brown.,R,R,R,MIN,OAK,X,9,fly_ball,0,0,2023,-0.67,1.51,-0.5,2.6,,,,1,6,Bot,200.66,109.06,,,669127,,,6.381764073601304,-143.752743,-8.914818459,-10.82539165,33.424375195609265,-9.268131929,3.46,1.62,289,84.9,33,99.7,2413,6.8,716421,695243,669127,676116,680869,672478,669397,665923,671732,664913,53.69,0.014,0.013,0,1,0,0,3,47,1,4-Seam Fastball,7,0,7,0,0,7,7,0,Standard,Standard,210,-0.001,-0.169
SI,9/26/2023,91.6,-2,6.09,"Wallner, Matt",670242,621112,home_run,hit_into_play,,,,,5,Matt Wallner hits a grand slam (13) to center field.   Max Kepler scores.    Alex Kirilloff scores.    Kyle Farmer scores.,R,L,R,MIN,OAK,X,,fly_ball,3,1,2023,-0.92,0.91,0.23,2.55,596146,666135,571657,2,1,Bot,174.36,17.26,,,669127,,,7.620629964730851,-133.2046989,-5.065458233,-12.56012578,28.217183764846908,-20.45950874,3.72,1.81,463,114.5,36,91.8,2085,6.4,716421,621112,669127,676116,680869,672478,669397,665923,671732,664913,54.11,0.894,1.816,2,1,0,3,6,11,5,Sinker,1,0,1,0,0,5,5,0,Standard,Standard,204,0.235,2.96
FF,9/26/2023,96,-2.38,6.15,"Allen, Nick",669397,663978,field_out,hit_into_play,,,,,4,Nick Allen flies out to right fielder Max Kepler.,R,R,R,MIN,OAK,X,9,fly_ball,2,2,2023,-1.08,1.31,-0.68,2.42,,672478,,1,7,Top,158.19,105.05,,,543877,,,7.003946478434701,-139.3738015,-7.267637948,-15.64716575,33.40443405738379,-13.58111701,2.98,1.4,249,74.1,33,96.5,2304,6.9,716421,663978,543877,666135,593871,456781,571657,670242,572191,596146,53.62,0.309,0.278,0,1,0,0,3,54,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,219,0.021,-0.292
FF,9/26/2023,98.1,-2.36,6.31,"Kirilloff, Alex",666135,695243,home_run,hit_into_play,,,,,1,Alex Kirilloff homers (11) on a fly ball to left field.   Donovan Solano scores.,R,L,R,MIN,OAK,X,,fly_ball,2,1,2023,-0.57,1.59,-0.48,2.78,,,456781,1,5,Bot,46.54,74.28,,,669127,,,6.420199985753224,-142.5221812,-7.718664593,-9.332935148,34.297717545254244,-8.932436118,3.22,1.66,365,97.6,34,98.2,2550,6.5,716421,695243,669127,676116,680869,672478,669397,665923,671732,664913,53.96,0.286,0.535,2,1,0,3,5,39,4,4-Seam Fastball,5,0,5,0,0,7,7,0,Standard,Standard,211,0.024,1.674
CH,9/26/2023,85.5,-3,6.08,"Brown, Seth",664913,663978,home_run,hit_into_play,,,,,4,Seth Brown homers (14) on a fly ball to center field.   Brent Rooker scores.,R,L,R,MIN,OAK,X,,fly_ball,0,0,2023,-1.34,0.83,-0.68,2.67,,,667670,0,7,Top,92.45,38.68,,,543877,,,8.213172138371206,-124.1111561,-3.350345665,-15.54988264,27.292865638504786,-23.17939237,3.47,1.69,405,103,27,85.6,2105,6.7,716421,663978,543877,666135,593871,456781,571657,670242,572191,596146,53.78,0.789,1.472,2,1,0,3,6,50,1,Changeup,7,0,0,7,2,7,2,7,Infield shade,Standard,243,-0.016,1.59
SI,9/26/2023,89.5,-2.48,5.34,"Vázquez, Christian",543877,594943,double,hit_into_play,,,,,6,Christian Vazquez doubles (13) on a sharp fly ball to right fielder Seth Brown.   Donovan Solano scores.    Alex Kirilloff scores.    Matt Wallner scores.,R,R,R,MIN,OAK,X,9,fly_ball,0,2,2023,-1.72,0.27,0.47,2.16,456781,666135,670242,2,7,Bot,176.88,62.47,,,669127,,,10.978461597893855,-129.6750766,-2.282776755,-21.88226993,31.55152922,-28.88078063,3.16,1.5,359,100.2,24,89.3,2196,6.8,716421,594943,669127,676116,680869,672478,669397,665923,671732,664913,53.73,0.474,0.692,1.25,1,1,1,6,62,3,Sinker,8,3,8,3,3,11,11,3,Standard,Standard,229,0.01,2.48
