,season,wavgwRC+_1b,medianwRC+_1b,wavgwRC+_2b,medianwRC+_2b,wavgwRC+_3b,medianwRC+_3b,wavgwRC+_ss,medianwRC+_ss,wavgwRC+_c,medianwRC+_c,wavgwRC+_cf,medianwRC+_cf,wavgwRC+_lf,medianwRC+_lf,wavgwRC+_rf,medianwRC+_rf,wavgwRC+_of,medianwRC+_of
30,1992,109.90381355932202,94.0,95.99429600720504,85.5,99.43858237910476,91.0,84.08407541913336,71.0,87.73094688221707,77.0,103.42296748915528,91.0,100.97038308030884,86.5,100.99588512281,90.0,103.81452544439452,92.0
31,1993,112.78842727567216,97.0,92.68079214567425,81.0,97.86711197776212,89.0,86.28867883995703,75.0,91.50083420229406,71.0,98.07600062907918,89.0,105.51734938063063,89.0,99.08696601411832,83.5,103.20095225381569,90.0
32,1994,114.1969396939694,95.0,92.03751403083832,84.0,95.38692098092643,82.5,81.91276126184603,80.5,87.20231173864896,83.0,98.12564970385591,86.5,101.01644371596257,88.0,107.10140534582528,92.0,104.61772456099668,93.0
33,1995,112.6336970384016,99.5,86.22933992301478,72.0,100.23497829030302,86.0,80.31087023213007,75.0,87.25075066234915,75.5,95.6581164575922,89.0,102.82786354107108,91.0,108.22274265921436,92.5,104.0502878316681,92.0
34,1996,114.59169924311736,97.5,84.17334498579855,72.0,97.00514306706398,84.0,83.11334425090564,83.0,87.77313798560417,76.0,97.1695346027249,83.0,104.23334657661236,92.0,105.68289881304604,96.0,105.01905207860813,92.0
35,1997,115.62625431814445,108.0,90.29530697789102,82.0,98.56050142951398,92.0,81.5110601879998,76.0,91.41284785435631,75.0,97.35553286735257,87.0,99.2933655394525,90.0,108.8866703770697,92.5,103.01667724367962,91.0
36,1998,113.14219644116956,96.0,90.77492788648944,76.0,98.26732632784068,85.0,82.99766809172172,72.0,85.83325190541333,78.0,100.1828418230563,92.0,98.1721064524228,85.0,107.5554747810434,94.0,103.6798912593492,92.0
37,1999,110.50300726910449,100.0,92.58571212807732,80.5,95.4244616009752,81.5,83.57522009877604,67.5,87.03031882135582,74.0,95.5580521442684,83.0,102.9919412030172,89.0,107.46698043829974,89.0,103.99940600350872,92.0
38,2000,114.7724541960521,107.0,90.22689553256792,81.0,93.47900881397864,83.5,84.09754881595347,69.0,89.72794995463443,76.0,94.4966229482447,81.0,105.25316263228318,92.0,106.80719826638612,93.5,103.74722177047758,92.0
39,2001,113.21900727359922,98.0,90.63859580309864,79.0,96.93417317936157,83.5,85.8762390373241,77.5,82.22660918977172,72.0,95.9170011972674,84.5,105.68512089465116,90.0,109.0973538503346,90.0,105.81227158007972,90.0
40,2002,114.27280325190898,101.5,88.46646088092128,76.0,92.85295429660567,86.0,87.90495249824068,75.0,81.72693328092758,77.0,100.59949509344844,92.0,108.66392974892214,90.0,107.04621562511204,95.0,106.64406521618778,95.0
41,2003,112.01291372761804,98.0,88.58556579721514,77.0,89.31377644389136,76.0,84.633626097867,76.5,88.13828795683102,75.0,97.62126410648588,82.0,109.49869070900594,96.0,105.09233342435827,90.0,106.68622971040904,93.5
42,2004,109.26088126730237,99.0,88.86186048291432,77.0,98.4535442898572,87.0,86.12889352274209,76.0,86.66069075851685,74.0,99.265843288115,95.0,107.44566185934455,92.0,103.70220184671014,89.0,103.90741070084955,92.0
43,2005,112.53704632236666,99.0,94.43030881125551,86.0,97.78841661014395,90.0,88.36325653091026,73.0,84.38320610687023,71.0,97.14310358347056,89.0,104.1200439017698,90.0,103.99435048197452,97.0,102.78553840194778,93.0
44,2006,112.32919604019798,103.0,89.81018682399213,83.0,102.33876628878042,92.0,85.76634717784877,68.0,89.0649466192171,77.0,94.09511696920646,84.0,103.13340876362888,88.0,104.40070038386423,97.5,102.48436345727654,93.0
45,2007,110.76052359353864,98.0,94.5810737736578,83.0,97.8645563252196,81.0,90.01491283343833,76.0,83.76956874731361,75.0,97.20452550083807,85.5,102.12350415317474,92.0,106.87544119321416,97.5,102.47630929724396,92.0
46,2008,109.36548109322352,98.0,94.63001341881616,86.0,99.29169610650403,90.5,87.76803183551651,81.0,86.88400794401363,71.0,97.22930661087253,93.0,102.90983507884916,91.0,105.2428952854687,95.0,103.25708717466723,93.0
47,2009,115.22494823612143,101.5,94.30265841088575,82.5,97.4883235579864,81.5,86.31603549358262,72.0,87.73418445121952,76.5,96.0573528325578,93.5,103.23789401942408,88.5,102.6994038494294,87.0,102.36779015848846,92.0
48,2010,112.34272244671578,88.0,93.22556792193932,82.0,97.09253827299396,88.0,83.4919982082502,78.0,88.99616784824678,78.0,99.81039804385296,87.0,99.66289238399791,83.0,107.62570057388326,95.0,103.48330053375996,92.0
49,2011,112.00958359644888,95.0,90.24413424413424,75.0,91.83155933053791,81.0,87.24751258572165,75.0,92.02003526991282,77.0,100.15529174881496,90.0,99.2037275701398,89.0,109.6113480303578,96.5,103.98664642107056,92.0
50,2012,107.06756508647598,92.5,88.04924865216228,75.0,100.14697692160976,85.5,86.81680260322022,75.0,94.81531343974092,81.0,101.4354273080735,89.5,103.14231222477206,88.5,104.15236707421096,91.0,104.53966820430168,91.5
51,2013,110.01058015147964,94.0,90.48675057300254,81.0,96.55536041539402,81.0,85.6002672010688,77.5,91.89292229113462,78.0,99.654435261708,91.0,98.95957263378288,85.0,104.73679763413604,95.0,102.29562013114388,92.0
52,2014,108.3298188405797,95.0,87.72430587513422,77.0,100.44381461817892,95.0,87.6669001138055,80.0,93.12014995313965,76.0,103.75850628809506,90.5,102.25497150094996,84.0,100.41376456796084,83.0,102.83266530296328,87.0
53,2015,112.49774477019989,95.0,92.5629509921828,91.0,101.4531651393735,93.0,85.34597346911431,78.0,84.95768395657419,81.0,100.42073763165054,93.5,99.4031445448228,89.0,107.7131312378966,93.0,103.20263977333296,93.0
54,2016,107.97601629082136,92.0,101.185940149036,82.5,106.1668526370602,93.0,92.72143135303534,84.0,87.08500883518792,78.0,96.06750788643534,86.0,96.2977503308337,84.0,101.18353804884934,91.0,99.8290702677196,88.0
55,2017,113.04601497983484,103.5,93.1936097793068,74.5,101.65946459084866,92.0,87.95040378842332,76.0,88.88445159458693,84.0,100.26557086765725,87.5,100.16583256101327,87.0,103.10887264740413,87.0,101.35020056413092,88.0
56,2018,105.30284433338232,98.0,93.20156356220258,75.5,102.66111996442204,83.0,95.08091761351362,85.0,83.57590643274855,72.0,96.60162601626018,86.0,101.70394381415451,90.0,106.0750644222081,98.0,102.49120232574238,91.0
57,2019,105.32156804951734,95.0,94.42292265644411,86.0,105.86528694330237,94.0,98.0629157650076,88.0,85.01815196998123,75.0,94.72878787878788,85.0,101.08243444152724,88.0,106.8481008524119,94.0,102.01105801141642,89.5
58,2020,107.59973911298414,98.0,90.94615092908606,80.0,99.61251692179528,90.5,100.66082573211712,93.5,89.43158035953851,84.0,96.28057928735154,88.0,103.06834710743804,88.0,100.6818667963053,88.5,100.74018954820538,88.0
59,2021,109.37519599790934,97.5,93.97533506767216,77.0,94.96819443943602,83.0,97.91771756773628,90.0,88.5753294324723,80.0,94.3021648657936,79.0,99.66106230912123,90.0,104.35485891235516,91.0,100.35045945870458,90.0
60,2022,106.60839087675244,92.0,95.34667644695936,83.5,101.52290983142892,80.0,93.67335782776236,82.5,88.37897433551399,71.5,95.39840144095464,81.0,100.39325426241662,90.0,101.26427128062642,86.5,100.5998553315773,88.0
